8.1222,16.0962,123.119,62.1265
8.20056,12.8782,121.943,77.6506
7.19743,12.4816,138.938,80.1179
6.93489,8.5668,144.198,116.73
6.94939,9.3057,143.898,107.461
6.94151,8.8141,144.061,113.455
6.94457,9.696,143.997,103.135
6.94413,9.3903,144.007,106.493
7.05888,10.0812,141.665,99.1945
6.92229,9.7951,144.461,102.092
6.95715,10.4009,143.737,96.1455
6.94151,10.7725,144.061,92.829
6.94096,9.5052,144.072,105.206
6.94836,9.4423,143.919,105.906
6.94213,8.6369,144.048,115.782
6.94788,9.421,143.929,106.146
6.96127,8.5555,143.652,116.884
7.03551,11.5216,142.136,86.7935
6.92238,10.4693,144.459,95.5174
6.93907,9.5835,144.112,104.346
6.94722,9.1506,143.942,109.282
6.97787,9.9487,143.31,100.516
7.00564,12.5646,142.742,79.5887
6.94392,8.9774,144.011,111.391
6.96613,9.954,143.552,100.462
6.92017,9.1739,144.505,109.005
